====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =4999.23
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
100100.E-04  1702.39E-03  1702.39E-03
200100.E-04  1847.35E-03  1847.35E-03
300100.E-04  2018.43E-03  2018.43E-03
400100.E-04  2132.82E-03  2132.82E-03
500100.E-04  2258.55E-03  2258.55E-03
600100.E-04  2279.44E-03  2279.44E-03
700100.E-04  2350.59E-03  2350.59E-03
800100.E-04  2473.61E-03  2473.61E-03
900100.E-04  2504.32E-03  2504.32E-03
100010.E-03  2617.07E-03  2617.07E-03
110010.E-03  2835.46E-03  2835.46E-03
120010.E-03  2742.23E-03  2742.23E-03
130010.E-03  2861.62E-03  2861.62E-03
140010.E-03  2653.47E-03  2653.47E-03
150010.E-03  2643.15E-03  2643.15E-03
160010.E-03  2664.45E-03  2664.45E-03
170010.E-03  2637.21E-03  2637.21E-03
180010.E-03  2550.16E-03  2550.16E-03
190010.E-03  2617.55E-03  2617.55E-03
200010.E-03  2445.19E-03  2445.19E-03
210010.E-03  2524.37E-03  2524.37E-03
220010.E-03  2388.92E-03  2388.92E-03
230010.E-03  2395.16E-03  2395.16E-03
240010.E-03  2245.16E-03  2245.16E-03
250010.E-03  2276.47E-03  2276.47E-03
260010.E-03  2177.64E-03  2177.64E-03
270010.E-03  2171.90E-03  2171.90E-03
280010.E-03  2056.82E-03  2056.82E-03
290010.E-03  1873.10E-03  1873.10E-03
300010.E-03  1788.63E-03  1788.63E-03
310010.E-03  1789.67E-03  1789.67E-03
320010.E-03  1703.80E-03  1703.80E-03
330010.E-03  1563.61E-03  1563.61E-03
340010.E-03  1503.44E-03  1503.44E-03
350010.E-03  1344.96E-03  1344.96E-03
360010.E-03  1222.70E-03  1222.70E-03
370010.E-03  1219.95E-03  1219.95E-03
380010.E-03  1114.02E-03  1114.02E-03
390010.E-03  1114.63E-03  1114.63E-03
400010.E-03  1074.67E-03  1074.67E-03
410010.E-03  9436.87E-04  9436.87E-04
420010.E-03  8857.28E-04  8857.28E-04
430010.E-03  8578.90E-04  8578.90E-04
440010.E-03  7790.46E-04  7790.46E-04
450010.E-03  7207.12E-04  7207.12E-04
460010.E-03  6542.97E-04  6542.97E-04
470010.E-03  6390.08E-04  6390.08E-04
480010.E-03  5533.89E-04  5533.89E-04
490010.E-03  4763.65E-04  4763.65E-04
500010.E-03  4533.85E-04  4533.85E-04
510010.E-03  4221.99E-04  4221.99E-04
520010.E-03  4100.01E-04  4100.01E-04
530010.E-03  3416.07E-04  3416.07E-04
540010.E-03  3601.31E-04  3601.31E-04
550010.E-03  3257.58E-04  3257.58E-04
560010.E-03  2985.72E-04  2985.72E-04
570010.E-03  2628.11E-04  2628.11E-04
580010.E-03  2175.04E-04  2175.04E-04
590010.E-03  1965.32E-04  1965.32E-04
600010.E-03  1864.68E-04  1864.68E-04
610010.E-03  1903.89E-04  1903.89E-04
620010.E-03  1508.58E-04  1508.58E-04
630010.E-03  1356.94E-04  1356.94E-04
640010.E-03  1107.10E-04  1107.10E-04
650010.E-03  1120.05E-04  1120.05E-04
660010.E-03  1127.97E-04  1127.97E-04
670010.E-03  1126.11E-04  1126.11E-04
680010.E-03  7946.34E-05  7946.34E-05
690010.E-03  8628.10E-05  8628.10E-05
700010.E-03  5083.35E-05  5083.35E-05
710010.E-03  4566.23E-05  4566.23E-05
720010.E-03  3760.24E-05  3760.24E-05
730010.E-03  3911.42E-05  3911.42E-05
740010.E-03  2362.90E-05  2362.90E-05
750010.E-03  2634.38E-05  2634.38E-05
760010.E-03  2302.04E-05  2302.04E-05
770010.E-03  2271.45E-05  2271.45E-05
780010.E-03  1521.11E-05  1521.11E-05
790010.E-03  1025.41E-05  1025.41E-05
800010.E-03  2181.57E-05  2181.57E-05
810010.E-03  1205.60E-05  1205.60E-05
820010.E-03  1072.14E-05  1072.14E-05
830010.E-03  7221.07E-06  7221.07E-06
840010.E-03  7937.88E-06  7937.88E-06
850010.E-03  9978.73E-06  9978.73E-06
860010.E-03  1581.02E-06  1581.02E-06
870010.E-03  1576.61E-06  1576.61E-06
880010.E-03  4972.14E-06  4972.14E-06
890010.E-03  6198.47E-06  6198.47E-06
900010.E-03  2582.29E-06  2582.29E-06
910010.E-03  4049.61E-08  4049.61E-08
920010.E-03  0000.00E+00  0000.00E+00
930010.E-03  0000.00E+00  0000.00E+00
940010.E-03  0000.00E+00  0000.00E+00
950010.E-03  7651.53E-08  7651.53E-08
960010.E-03  1154.72E-06  1154.72E-06
970010.E-03  1154.72E-06  1154.72E-06
980010.E-03  5528.77E-08  5528.77E-08
990010.E-03  0000.00E+00  0000.00E+00
100001.E-02  0000.00E+00  0000.00E+00
