====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E-01 A ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =004999.23
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100100.E-04  1427.62E-02  1782.89E-04
200100.E-04  1594.14E-02  1620.38E-04
300100.E-04  1721.20E-02  2215.46E-04
400100.E-04  1782.90E-02  2975.28E-04
500100.E-04  1876.15E-02  2711.43E-04
600100.E-04  1917.66E-02  2935.14E-04
700100.E-04  1988.59E-02  3176.11E-04
800100.E-04  2075.36E-02  3340.01E-04
900100.E-04  2062.71E-02  3392.24E-04
100010.E-03  2078.64E-02  3702.54E-04
110010.E-03  2154.51E-02  3851.39E-04
120010.E-03  2175.02E-02  3913.24E-04
130010.E-03  2202.71E-02  4077.05E-04
140010.E-03  2078.73E-02  3865.12E-04
150010.E-03  2099.46E-02  3711.17E-04
160010.E-03  2036.59E-02  3753.49E-04
170010.E-03  2043.84E-02  3750.78E-04
180010.E-03  2088.18E-02  3650.47E-04
190010.E-03  2040.03E-02  3816.41E-04
200010.E-03  1915.33E-02  3438.93E-04
210010.E-03  1888.45E-02  3406.03E-04
220010.E-03  1819.51E-02  3543.43E-04
230010.E-03  1771.21E-02  3566.66E-04
240010.E-03  1712.58E-02  3386.23E-04
250010.E-03  1687.44E-02  3133.46E-04
260010.E-03  1599.00E-02  3187.97E-04
270010.E-03  1569.35E-02  3080.58E-04
280010.E-03  1524.84E-02  3119.06E-04
290010.E-03  1411.17E-02  2800.14E-04
300010.E-03  1336.33E-02  2698.32E-04
310010.E-03  1305.56E-02  2586.77E-04
320010.E-03  1209.64E-02  2590.34E-04
330010.E-03  1159.73E-02  2258.62E-04
340010.E-03  1095.30E-02  2230.53E-04
350010.E-03  1014.76E-02  2162.89E-04
360010.E-03  9333.14E-03  1958.65E-04
370010.E-03  8709.39E-03  1878.97E-04
380010.E-03  8416.71E-03  1772.32E-04
390010.E-03  8044.45E-03  1675.64E-04
400010.E-03  7541.67E-03  1689.65E-04
410010.E-03  6906.06E-03  1521.68E-04
420010.E-03  6535.35E-03  1478.82E-04
430010.E-03  6105.78E-03  1401.52E-04
440010.E-03  5795.10E-03  1306.60E-04
450010.E-03  5544.40E-03  1158.21E-04
460010.E-03  4756.58E-03  1070.67E-04
470010.E-03  4524.29E-03  1084.85E-04
480010.E-03  4147.46E-03  9140.35E-05
490010.E-03  3758.59E-03  8371.80E-05
500010.E-03  3692.26E-03  8179.99E-05
510010.E-03  3322.80E-03  7448.84E-05
520010.E-03  3105.91E-03  7198.76E-05
530010.E-03  2754.75E-03  6580.35E-05
540010.E-03  2630.13E-03  5844.16E-05
550010.E-03  2370.50E-03  5976.06E-05
560010.E-03  2278.83E-03  5370.64E-05
570010.E-03  2032.14E-03  4835.27E-05
580010.E-03  1908.75E-03  4242.30E-05
590010.E-03  1633.81E-03  3702.78E-05
600010.E-03  1499.58E-03  3633.85E-05
610010.E-03  1428.15E-03  3089.00E-05
620010.E-03  1246.24E-03  3137.37E-05
630010.E-03  1074.50E-03  2470.73E-05
640010.E-03  9083.22E-04  2319.04E-05
650010.E-03  9170.82E-04  2103.28E-05
660010.E-03  8426.94E-04  2132.53E-05
670010.E-03  8127.08E-04  2138.11E-05
680010.E-03  6354.11E-04  1551.67E-05
690010.E-03  6571.55E-04  1527.93E-05
700010.E-03  5246.31E-04  1262.86E-05
710010.E-03  4389.51E-04  9847.09E-06
720010.E-03  3401.40E-04  8404.61E-06
730010.E-03  3053.44E-04  8993.35E-06
740010.E-03  2374.42E-04  5424.21E-06
750010.E-03  2028.64E-04  4926.09E-06
760010.E-03  1602.70E-04  4547.78E-06
770010.E-03  1833.10E-04  5346.09E-06
780010.E-03  1658.26E-04  3951.42E-06
790010.E-03  1454.19E-04  3211.03E-06
800010.E-03  1296.42E-04  3541.92E-06
810010.E-03  1305.72E-04  2637.82E-06
820010.E-03  1124.92E-04  3325.61E-06
830010.E-03  1240.04E-04  2484.05E-06
840010.E-03  9905.21E-05  2320.51E-06
850010.E-03  9183.70E-05  1566.39E-06
860010.E-03  4554.03E-05  1286.19E-06
870010.E-03  2953.03E-05  7673.58E-07
880010.E-03  4548.42E-05  9398.11E-07
890010.E-03  3200.03E-05  1101.49E-06
900010.E-03  2479.53E-05  8072.46E-07
910010.E-03  1603.76E-05  2638.10E-07
920010.E-03  9708.11E-06  2147.44E-07
930010.E-03  7694.21E-06  1362.24E-07
940010.E-03  6590.61E-06  1395.02E-07
950010.E-03  1334.80E-05  2136.37E-07
960010.E-03  6955.71E-06  5846.10E-08
970010.E-03  4651.34E-06  7880.97E-08
980010.E-03  6074.22E-06  3260.28E-07
990010.E-03  1972.36E-06  3900.45E-08
100001.E-02  2885.09E-06  5882.85E-08
