====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 10 keV
 Total Ions calculated =5000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 333092.E-03 A   Straggling = 172458.E-03 A
 Ion Lateral Range = 197425.E-03 A   Straggling = 245093.E-03 A
 Ion Radial  Range = 312660.E-03 A   Straggling = 154287.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1001000.E-05 25066378.E-05 25066378.E-05 27100762.E-05 00000000.E+00 
2001000.E-05 25824642.E-05 28595196.E-05 35811864.E-05 10340339.E-05 
3001000.E-05 23764275.E-05 27759682.E-05 35354167.E-05 14450296.E-05 
4001000.E-05 19858147.E-05 26307389.E-05 35259957.E-05 17810875.E-05 
5001000.E-05 19113162.E-05 25058410.E-05 31202295.E-05 16785800.E-05 
6001000.E-05 19262549.E-05 22681366.E-05 37032796.E-05 13576484.E-05 
7001000.E-05 21656345.E-05 26374666.E-05 31773331.E-05 14351274.E-05 
8001000.E-05 16821377.E-05 21502114.E-05 33545104.E-05 16048565.E-05 
9001000.E-05 17902709.E-05 22334590.E-05 30654637.E-05 16654777.E-05 
1000100.E-04 22966209.E-05 28023480.E-05 31325028.E-05 16244950.E-05 
1100100.E-04 24967081.E-05 29750041.E-05 33588622.E-05 16467424.E-05 
1200100.E-04 22156307.E-05 27066456.E-05 31342777.E-05 15179219.E-05 
1300100.E-04 20589336.E-05 24669199.E-05 34053019.E-05 16312337.E-05 
1400100.E-04 21188827.E-05 26318111.E-05 33077445.E-05 14980453.E-05 
1500100.E-04 21005836.E-05 24947290.E-05 32271551.E-05 12392209.E-05 
1600100.E-04 20441564.E-05 24633559.E-05 32018493.E-05 16071066.E-05 
1700100.E-04 22427650.E-05 26853838.E-05 34167880.E-05 15431885.E-05 
1800100.E-04 19816458.E-05 24614613.E-05 34047765.E-05 18273861.E-05 
1900100.E-04 18861871.E-05 23633375.E-05 33841069.E-05 15043438.E-05 
2000100.E-04 17456929.E-05 21417584.E-05 31944645.E-05 15198344.E-05 
2100100.E-04 18005648.E-05 23031498.E-05 31282789.E-05 17109519.E-05 
2200100.E-04 21078465.E-05 26688147.E-05 29163864.E-05 15190864.E-05 
2300100.E-04 23529534.E-05 27035984.E-05 33371520.E-05 14271288.E-05 
