====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+03 AAA ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =4999.23
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100100.E-04  510952.E-06  158977.E-05
200100.E-04  604482.E-06  147391.E-05
300100.E-04  669578.E-06  200034.E-05
400100.E-04  741437.E-06  265183.E-05
500100.E-04  794932.E-06  244380.E-05
600100.E-04  838206.E-06  264829.E-05
700100.E-04  856209.E-06  285007.E-05
800100.E-04  929050.E-06  302226.E-05
900100.E-04  935371.E-06  308526.E-05
100010.E-03  995555.E-06  332317.E-05
110010.E-03  103473.E-05  347626.E-05
120010.E-03  107681.E-05  355113.E-05
130010.E-03  109558.E-05  368495.E-05
140010.E-03  111411.E-05  352791.E-05
150010.E-03  110478.E-05  344972.E-05
160010.E-03  112950.E-05  345603.E-05
170010.E-03  119454.E-05  350686.E-05
180010.E-03  121344.E-05  341622.E-05
190010.E-03  118210.E-05  354306.E-05
200010.E-03  117507.E-05  325079.E-05
210010.E-03  113150.E-05  322457.E-05
220010.E-03  116779.E-05  333770.E-05
230010.E-03  115626.E-05  334557.E-05
240010.E-03  116045.E-05  319537.E-05
250010.E-03  113058.E-05  300522.E-05
260010.E-03  111722.E-05  303468.E-05
270010.E-03  108226.E-05  293259.E-05
280010.E-03  106385.E-05  296713.E-05
290010.E-03  105891.E-05  269861.E-05
300010.E-03  982418.E-06  261669.E-05
310010.E-03  100210.E-05  250056.E-05
320010.E-03  986583.E-06  251532.E-05
330010.E-03  955393.E-06  223887.E-05
340010.E-03  900642.E-06  219978.E-05
350010.E-03  854605.E-06  212263.E-05
360010.E-03  837463.E-06  194305.E-05
370010.E-03  784433.E-06  185427.E-05
380010.E-03  776729.E-06  177173.E-05
390010.E-03  774526.E-06  169899.E-05
400010.E-03  762044.E-06  170675.E-05
410010.E-03  711637.E-06  154941.E-05
420010.E-03  712675.E-06  150023.E-05
430010.E-03  660806.E-06  142587.E-05
440010.E-03  658316.E-06  134410.E-05
450010.E-03  608306.E-06  120618.E-05
460010.E-03  550965.E-06  110787.E-05
470010.E-03  554137.E-06  111506.E-05
480010.E-03  504232.E-06  968791.E-06
490010.E-03  478966.E-06  887386.E-06
500010.E-03  445149.E-06  856951.E-06
510010.E-03  418513.E-06  785380.E-06
520010.E-03  412961.E-06  763027.E-06
530010.E-03  383359.E-06  701422.E-06
540010.E-03  358850.E-06  629108.E-06
550010.E-03  335717.E-06  632861.E-06
560010.E-03  303290.E-06  570357.E-06
570010.E-03  287891.E-06  520071.E-06
580010.E-03  271341.E-06  460455.E-06
590010.E-03  237028.E-06  403366.E-06
600010.E-03  227637.E-06  394209.E-06
610010.E-03  206891.E-06  342908.E-06
620010.E-03  188338.E-06  337218.E-06
630010.E-03  165822.E-06  274641.E-06
640010.E-03  151678.E-06  251526.E-06
650010.E-03  142660.E-06  230969.E-06
660010.E-03  131947.E-06  231646.E-06
670010.E-03  117812.E-06  226424.E-06
680010.E-03  106025.E-06  169737.E-06
690010.E-03  100037.E-06  169162.E-06
700010.E-03  939666.E-07  143462.E-06
710010.E-03  814592.E-07  115128.E-06
720010.E-03  634295.E-07  961227.E-07
730010.E-03  612912.E-07  100680.E-06
740010.E-03  425182.E-07  626016.E-07
750010.E-03  443404.E-07  583317.E-07
760010.E-03  295256.E-07  518806.E-07
770010.E-03  362940.E-07  584257.E-07
780010.E-03  325042.E-07  456758.E-07
790010.E-03  270819.E-07  387108.E-07
800010.E-03  241179.E-07  405849.E-07
810010.E-03  273730.E-07  319741.E-07
820010.E-03  238866.E-07  374439.E-07
830010.E-03  234494.E-07  292238.E-07
840010.E-03  206285.E-07  277770.E-07
850010.E-03  170892.E-07  200092.E-07
860010.E-03  810495.E-08  145852.E-07
870010.E-03  938732.E-08  972858.E-08
880010.E-03  917638.E-08  112441.E-07
890010.E-03  724101.E-08  124437.E-07
900010.E-03  555473.E-08  932839.E-08
910010.E-03  472262.E-08  374654.E-08
920010.E-03  257661.E-08  316572.E-08
930010.E-03  197910.E-08  206429.E-08
940010.E-03  248408.E-08  175485.E-08
950010.E-03  269945.E-08  279619.E-08
960010.E-03  801850.E-09  684724.E-09
970010.E-03  656425.E-09  998455.E-09
980010.E-03  142935.E-08  336484.E-08
990010.E-03  781697.E-09  588246.E-09
100001.E-02  489239.E-09  800607.E-09
