====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+03 A ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 10 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
100100.E-04  8380.00E-06  3090.66E-06  
200100.E-04  8320.00E-06  3610.50E-06  
300100.E-04  1062.00E-05  5427.44E-06  
400100.E-04  1528.00E-05  8047.94E-06  
500100.E-04  1356.00E-05  6594.28E-06  
600100.E-04  1444.00E-05  7107.86E-06  
700100.E-04  1678.00E-05  7557.40E-06  
800100.E-04  1746.00E-05  8192.30E-06  
900100.E-04  1802.00E-05  7992.79E-06  
100010.E-03  1868.00E-05  8354.07E-06  
110010.E-03  2022.00E-05  9609.53E-06  
120010.E-03  1994.00E-05  8317.10E-06  
130010.E-03  2016.00E-05  7795.91E-06  
140010.E-03  1948.00E-05  7086.30E-06  
150010.E-03  2004.00E-05  8824.90E-06  
160010.E-03  2106.00E-05  7982.37E-06  
170010.E-03  2106.00E-05  9179.22E-06  
180010.E-03  1928.00E-05  6591.53E-06  
190010.E-03  2004.00E-05  6867.23E-06  
200010.E-03  1952.00E-05  7021.87E-06  
210010.E-03  1986.00E-05  6595.06E-06  
220010.E-03  1912.00E-05  6380.42E-06  
230010.E-03  1908.00E-05  5817.09E-06  
240010.E-03  1932.00E-05  7092.50E-06  
250010.E-03  1950.00E-05  5921.47E-06  
260010.E-03  1942.00E-05  6559.85E-06  
270010.E-03  1782.00E-05  5255.37E-06  
280010.E-03  1664.00E-05  4617.69E-06  
290010.E-03  1662.00E-05  4469.35E-06  
300010.E-03  1720.00E-05  4495.32E-06  
310010.E-03  1536.00E-05  3642.69E-06  
320010.E-03  1484.00E-05  3807.61E-06  
330010.E-03  1418.00E-05  2875.91E-06  
340010.E-03  1362.00E-05  3110.08E-06  
350010.E-03  1258.00E-05  2508.54E-06  
360010.E-03  1266.00E-05  2438.80E-06  
370010.E-03  1222.00E-05  2435.91E-06  
380010.E-03  1098.00E-05  2271.04E-06  
390010.E-03  1072.00E-05  2215.44E-06  
400010.E-03  1000.00E-05  2075.99E-06  
410010.E-03  9300.00E-06  1871.96E-06  
420010.E-03  9060.00E-06  1540.42E-06  
430010.E-03  8020.00E-06  1310.63E-06  
440010.E-03  8080.00E-06  1505.50E-06  
450010.E-03  7320.00E-06  1120.61E-06  
460010.E-03  7100.00E-06  1111.46E-06  
470010.E-03  6860.00E-06  8447.79E-07  
480010.E-03  5720.00E-06  9047.41E-07  
490010.E-03  5580.00E-06  8783.24E-07  
500010.E-03  5080.00E-06  6553.54E-07  
510010.E-03  4980.00E-06  5630.71E-07  
520010.E-03  4980.00E-06  6675.19E-07  
530010.E-03  4160.00E-06  5115.94E-07  
540010.E-03  3880.00E-06  3182.59E-07  
550010.E-03  3140.00E-06  3110.99E-07  
560010.E-03  2920.00E-06  3507.61E-07  
570010.E-03  2920.00E-06  4740.61E-07  
580010.E-03  2580.00E-06  2903.19E-07  
590010.E-03  2440.00E-06  2951.92E-07  
600010.E-03  2220.00E-06  2170.36E-07  
610010.E-03  1740.00E-06  1202.77E-07  
620010.E-03  1860.00E-06  1900.80E-07  
630010.E-03  1540.00E-06  6834.63E-08  
640010.E-03  1480.00E-06  1594.17E-07  
650010.E-03  1280.00E-06  9008.67E-08  
660010.E-03  1200.00E-06  5179.55E-08  
670010.E-03  9000.00E-07  6767.70E-08  
680010.E-03  1300.00E-06  1390.05E-07  
690010.E-03  1040.00E-06  1224.31E-07  
700010.E-03  7600.00E-07  6295.21E-08  
710010.E-03  5000.00E-07  9611.39E-09  
720010.E-03  3200.00E-07  2882.91E-08  
730010.E-03  5000.00E-07  4299.69E-08  
740010.E-03  4400.00E-07  5674.15E-10  
750010.E-03  3000.00E-07  4957.28E-09  
760010.E-03  3200.00E-07  5657.52E-09  
770010.E-03  2000.00E-07  1731.94E-09  
780010.E-03  3000.00E-07  2568.79E-09  
790010.E-03  2400.00E-07  1532.01E-08  
800010.E-03  1600.00E-07  2769.85E-09  
810010.E-03  1400.00E-07  5160.48E-09  
820010.E-03  8000.00E-08  0000.00E+00  
830010.E-03  1000.00E-07  0000.00E+00  
840010.E-03  1000.00E-07  0000.00E+00  
850010.E-03  1400.00E-07  0000.00E+00  
860010.E-03  2000.00E-08  0000.00E+00  
870010.E-03  6000.00E-08  0000.00E+00  
880010.E-03  6000.00E-08  0000.00E+00  
890010.E-03  4000.00E-08  0000.00E+00  
900010.E-03  4000.00E-08  0000.00E+00  
910010.E-03  0000.00E+00  0000.00E+00  
920010.E-03  4000.00E-08  0000.00E+00  
930010.E-03  2000.00E-08  4885.85E-09  
940010.E-03  4000.00E-08  6711.86E-10  
950010.E-03  0000.00E+00  0000.00E+00  
960010.E-03  2000.00E-08  0000.00E+00  
970010.E-03  0000.00E+00  0000.00E+00  
980010.E-03  0000.00E+00  0000.00E+00  
990010.E-03  0000.00E+00  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
