====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY       ENERGY    
   DEPTH        from        Absorbed  
   (Ang.)       IONS        by Recoils
----------   ------------  -----------
100100.E-04  1746.13E-03  1746.13E-03
200100.E-04  1981.54E-03  1981.54E-03
300100.E-04  2060.15E-03  2060.15E-03
400100.E-04  2168.98E-03  2168.98E-03
500100.E-04  2249.64E-03  2249.64E-03
600100.E-04  2373.89E-03  2373.89E-03
700100.E-04  2493.84E-03  2493.84E-03
800100.E-04  2582.83E-03  2582.83E-03
900100.E-04  2459.86E-03  2459.86E-03
100010.E-03  2611.23E-03  2611.23E-03
110010.E-03  2578.11E-03  2578.11E-03
120010.E-03  2685.94E-03  2685.94E-03
130010.E-03  2551.89E-03  2551.89E-03
140010.E-03  2757.21E-03  2757.21E-03
150010.E-03  2725.28E-03  2725.28E-03
160010.E-03  2669.21E-03  2669.21E-03
170010.E-03  2649.56E-03  2649.56E-03
180010.E-03  2607.49E-03  2607.49E-03
190010.E-03  2560.39E-03  2560.39E-03
200010.E-03  2674.53E-03  2674.53E-03
210010.E-03  2469.20E-03  2469.20E-03
220010.E-03  2405.51E-03  2405.51E-03
230010.E-03  2294.60E-03  2294.60E-03
240010.E-03  2366.87E-03  2366.87E-03
250010.E-03  2124.79E-03  2124.79E-03
260010.E-03  2087.90E-03  2087.90E-03
270010.E-03  1890.55E-03  1890.55E-03
280010.E-03  1907.17E-03  1907.17E-03
290010.E-03  1827.88E-03  1827.88E-03
300010.E-03  1814.83E-03  1814.83E-03
310010.E-03  1667.28E-03  1667.28E-03
320010.E-03  1751.38E-03  1751.38E-03
330010.E-03  1623.82E-03  1623.82E-03
340010.E-03  1438.62E-03  1438.62E-03
350010.E-03  1390.57E-03  1390.57E-03
360010.E-03  1379.57E-03  1379.57E-03
370010.E-03  1240.94E-03  1240.94E-03
380010.E-03  1216.71E-03  1216.71E-03
390010.E-03  1116.16E-03  1116.16E-03
400010.E-03  1040.65E-03  1040.65E-03
410010.E-03  9836.78E-04  9836.78E-04
420010.E-03  9087.16E-04  9087.16E-04
430010.E-03  8221.58E-04  8221.58E-04
440010.E-03  7463.70E-04  7463.70E-04
450010.E-03  7077.60E-04  7077.60E-04
460010.E-03  6663.77E-04  6663.77E-04
470010.E-03  6526.50E-04  6526.50E-04
480010.E-03  6274.63E-04  6274.63E-04
490010.E-03  5318.44E-04  5318.44E-04
500010.E-03  4894.99E-04  4894.99E-04
510010.E-03  4596.95E-04  4596.95E-04
520010.E-03  3651.92E-04  3651.92E-04
530010.E-03  3672.07E-04  3672.07E-04
540010.E-03  3341.28E-04  3341.28E-04
550010.E-03  2758.18E-04  2758.18E-04
560010.E-03  2416.30E-04  2416.30E-04
570010.E-03  2375.74E-04  2375.74E-04
580010.E-03  2260.17E-04  2260.17E-04
590010.E-03  2144.32E-04  2144.32E-04
600010.E-03  1487.04E-04  1487.04E-04
610010.E-03  1405.86E-04  1405.86E-04
620010.E-03  1419.01E-04  1419.01E-04
630010.E-03  1062.13E-04  1062.13E-04
640010.E-03  9950.72E-05  9950.72E-05
650010.E-03  8768.79E-05  8768.79E-05
660010.E-03  9686.51E-05  9686.51E-05
670010.E-03  8552.32E-05  8552.32E-05
680010.E-03  7569.07E-05  7569.07E-05
690010.E-03  5194.65E-05  5194.65E-05
700010.E-03  4137.55E-05  4137.55E-05
710010.E-03  4168.41E-05  4168.41E-05
720010.E-03  4344.85E-05  4344.85E-05
730010.E-03  4254.67E-05  4254.67E-05
740010.E-03  3775.44E-05  3775.44E-05
750010.E-03  3482.17E-05  3482.17E-05
760010.E-03  2835.68E-05  2835.68E-05
770010.E-03  2424.60E-05  2424.60E-05
780010.E-03  1966.55E-05  1966.55E-05
790010.E-03  2431.04E-05  2431.04E-05
800010.E-03  1497.62E-05  1497.62E-05
810010.E-03  8275.33E-06  8275.33E-06
820010.E-03  2823.75E-06  2823.75E-06
830010.E-03  3919.94E-06  3919.94E-06
840010.E-03  1903.91E-06  1903.91E-06
850010.E-03  6417.36E-07  6417.36E-07
860010.E-03  7707.14E-07  7707.14E-07
870010.E-03  2053.93E-06  2053.93E-06
880010.E-03  2005.32E-06  2005.32E-06
890010.E-03  1776.20E-07  1776.20E-07
900010.E-03  0000.00E+00  0000.00E+00
910010.E-03  1449.95E-06  1449.95E-06
920010.E-03  0000.00E+00  0000.00E+00
930010.E-03  8225.65E-07  8225.65E-07
940010.E-03  0000.00E+00  0000.00E+00
950010.E-03  0000.00E+00  0000.00E+00
960010.E-03  0000.00E+00  0000.00E+00
970010.E-03  0000.00E+00  0000.00E+00
980010.E-03  0000.00E+00  0000.00E+00
990010.E-03  0000.00E+00  0000.00E+00
100001.E-02  0000.00E+00  0000.00E+00
