====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E-01 A ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =005000.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
100100.E-04  1432.44E-02  1739.46E-04
200100.E-04  1622.15E-02  1588.74E-04
300100.E-04  1684.18E-02  2290.58E-04
400100.E-04  1779.03E-02  3124.61E-04
500100.E-04  1875.79E-02  2714.58E-04
600100.E-04  1944.16E-02  2908.80E-04
700100.E-04  2005.57E-02  3331.78E-04
800100.E-04  2082.77E-02  3614.77E-04
900100.E-04  2046.62E-02  3501.90E-04
100010.E-03  2075.19E-02  3646.33E-04
110010.E-03  2060.29E-02  3678.55E-04
120010.E-03  2060.72E-02  3722.37E-04
130010.E-03  2098.66E-02  3633.35E-04
140010.E-03  2125.43E-02  3772.49E-04
150010.E-03  2099.84E-02  3743.12E-04
160010.E-03  2097.73E-02  3844.80E-04
170010.E-03  2049.45E-02  3849.19E-04
180010.E-03  1972.21E-02  3791.50E-04
190010.E-03  1956.54E-02  3723.69E-04
200010.E-03  1916.79E-02  3450.11E-04
210010.E-03  1904.06E-02  3733.83E-04
220010.E-03  1810.12E-02  3549.06E-04
230010.E-03  1747.99E-02  3236.02E-04
240010.E-03  1705.31E-02  3424.27E-04
250010.E-03  1641.94E-02  3238.42E-04
260010.E-03  1596.02E-02  2987.89E-04
270010.E-03  1502.56E-02  2855.73E-04
280010.E-03  1425.78E-02  2818.90E-04
290010.E-03  1385.05E-02  2815.63E-04
300010.E-03  1294.79E-02  2514.81E-04
310010.E-03  1245.91E-02  2569.94E-04
320010.E-03  1240.19E-02  2550.96E-04
330010.E-03  1152.44E-02  2421.92E-04
340010.E-03  1089.60E-02  2197.81E-04
350010.E-03  1039.47E-02  2163.14E-04
360010.E-03  9575.84E-03  2131.91E-04
370010.E-03  9162.99E-03  1982.69E-04
380010.E-03  8878.64E-03  1884.96E-04
390010.E-03  8288.49E-03  1613.40E-04
400010.E-03  7651.64E-03  1693.87E-04
410010.E-03  7105.72E-03  1583.73E-04
420010.E-03  6767.05E-03  1499.32E-04
430010.E-03  6202.42E-03  1364.11E-04
440010.E-03  5759.51E-03  1270.20E-04
450010.E-03  5181.15E-03  1228.97E-04
460010.E-03  5124.56E-03  1089.07E-04
470010.E-03  4806.71E-03  1053.73E-04
480010.E-03  4350.23E-03  1022.33E-04
490010.E-03  3943.86E-03  9248.73E-05
500010.E-03  3477.78E-03  8520.07E-05
510010.E-03  3194.35E-03  7699.08E-05
520010.E-03  2882.00E-03  6603.97E-05
530010.E-03  2613.58E-03  6272.62E-05
540010.E-03  2584.43E-03  6118.73E-05
550010.E-03  2269.82E-03  4982.26E-05
560010.E-03  2116.35E-03  4825.57E-05
570010.E-03  1874.72E-03  4370.87E-05
580010.E-03  1617.13E-03  3911.25E-05
590010.E-03  1495.88E-03  4007.31E-05
600010.E-03  1327.27E-03  3230.90E-05
610010.E-03  1253.21E-03  2787.63E-05
620010.E-03  1244.97E-03  2819.77E-05
630010.E-03  9575.95E-04  2260.52E-05
640010.E-03  9407.20E-04  1953.49E-05
650010.E-03  8161.56E-04  2009.45E-05
660010.E-03  6986.54E-04  1740.52E-05
670010.E-03  5754.05E-04  1414.38E-05
680010.E-03  5092.46E-04  1287.01E-05
690010.E-03  4935.51E-04  1281.28E-05
700010.E-03  4773.16E-04  1056.41E-05
710010.E-03  4409.99E-04  8949.65E-06
720010.E-03  3613.74E-04  1046.44E-05
730010.E-03  3559.75E-04  8751.72E-06
740010.E-03  3037.09E-04  6875.02E-06
750010.E-03  2415.70E-04  7468.44E-06
760010.E-03  2285.26E-04  5927.78E-06
770010.E-03  2071.95E-04  4591.96E-06
780010.E-03  1895.64E-04  5110.83E-06
790010.E-03  1352.50E-04  4859.88E-06
800010.E-03  1238.73E-04  3124.85E-06
810010.E-03  7267.83E-05  2209.43E-06
820010.E-03  6420.52E-05  2008.86E-06
830010.E-03  5034.47E-05  1350.27E-06
840010.E-03  3691.63E-05  6510.03E-07
850010.E-03  2815.01E-05  4480.20E-07
860010.E-03  2846.58E-05  5645.19E-07
870010.E-03  2459.17E-05  5800.74E-07
880010.E-03  2086.03E-05  5671.28E-07
890010.E-03  1856.88E-05  2030.26E-07
900010.E-03  1466.90E-05  2357.68E-07
910010.E-03  1296.19E-05  5663.12E-07
920010.E-03  1434.96E-05  2832.69E-07
930010.E-03  6760.21E-06  2783.41E-07
940010.E-03  4014.99E-06  1169.59E-07
950010.E-03  1989.25E-06  3969.62E-08
960010.E-03  0000.00E+00  1367.39E-08
970010.E-03  1635.18E-06  3711.71E-08
980010.E-03  1689.79E-06  1400.24E-08
990010.E-03  2099.69E-06  7128.66E-08
100001.E-02  6668.26E-07  8122.12E-09
