====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 10 keV
 Total Ions calculated =5000.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E-01 AAA ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Ion Average Range = 327238.E-03 A   Straggling = 173509.E-03 A
 Ion Lateral Range = 199746.E-03 A   Straggling = 247033.E-03 A
 Ion Radial  Range = 313383.E-03 A   Straggling = 155128.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1001000.E-05 24857363.E-05 27460957.E-05 35779730.E-05 13837125.E-05 
2001000.E-05 26090011.E-05 31928361.E-05 38889323.E-05 15889938.E-05 
3001000.E-05 19748646.E-05 22966087.E-05 31755511.E-05 13632395.E-05 
4001000.E-05 19748318.E-05 25327175.E-05 34224634.E-05 14252447.E-05 
5001000.E-05 21464982.E-05 26914155.E-05 31550752.E-05 18438346.E-05 
6001000.E-05 15786102.E-05 20335100.E-05 26193638.E-05 13962021.E-05 
7001000.E-05 23670900.E-05 29194410.E-05 34044620.E-05 16209160.E-05 
8001000.E-05 16696402.E-05 21417114.E-05 31429084.E-05 17328213.E-05 
9001000.E-05 19910604.E-05 24593085.E-05 34118502.E-05 16279948.E-05 
1000100.E-04 23213855.E-05 29527708.E-05 33148974.E-05 18594352.E-05 
1100100.E-04 19802429.E-05 24725963.E-05 28378699.E-05 16180344.E-05 
1200100.E-04 20433505.E-05 25222510.E-05 33244263.E-05 14935935.E-05 
1300100.E-04 22896700.E-05 26250193.E-05 33433576.E-05 13196604.E-05 
1400100.E-04 23897809.E-05 28507161.E-05 34283499.E-05 15740895.E-05 
1500100.E-04 18601822.E-05 23786134.E-05 30161216.E-05 16733301.E-05 
1600100.E-04 17801240.E-05 22352764.E-05 27407668.E-05 14469288.E-05 
1700100.E-04 21315743.E-05 25966307.E-05 32442318.E-05 14887348.E-05 
1800100.E-04 19801509.E-05 24966925.E-05 31820667.E-05 16307298.E-05 
1900100.E-04 19635905.E-05 24207532.E-05 30142098.E-05 14883891.E-05 
2000100.E-04 24432454.E-05 29591100.E-05 37936449.E-05 17120343.E-05 
2100100.E-04 20669889.E-05 25018960.E-05 32743471.E-05 14994145.E-05 
2200100.E-04 23664920.E-05 28555522.E-05 35154259.E-05 15865549.E-05 
2300100.E-04 21707030.E-05 26693866.E-05 32882908.E-05 16323487.E-05 
