====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+03 AAA ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
100100.E-04  490235.E-06  155930.E-05
200100.E-04  584308.E-06  144486.E-05
300100.E-04  647882.E-06  204203.E-05
400100.E-04  701504.E-06  275467.E-05
500100.E-04  771288.E-06  242883.E-05
600100.E-04  825799.E-06  261333.E-05
700100.E-04  869341.E-06  299902.E-05
800100.E-04  913785.E-06  320085.E-05
900100.E-04  939838.E-06  314649.E-05
100010.E-03  964206.E-06  329525.E-05
110010.E-03  988319.E-06  333301.E-05
120010.E-03  102985.E-05  336329.E-05
130010.E-03  107507.E-05  333859.E-05
140010.E-03  109547.E-05  346304.E-05
150010.E-03  114223.E-05  346214.E-05
160010.E-03  115152.E-05  354023.E-05
170010.E-03  115501.E-05  354943.E-05
180010.E-03  116949.E-05  349638.E-05
190010.E-03  115430.E-05  346521.E-05
200010.E-03  113794.E-05  325500.E-05
210010.E-03  116300.E-05  346708.E-05
220010.E-03  116850.E-05  333785.E-05
230010.E-03  114840.E-05  309648.E-05
240010.E-03  112965.E-05  322307.E-05
250010.E-03  111257.E-05  307570.E-05
260010.E-03  108468.E-05  289220.E-05
270010.E-03  108908.E-05  276477.E-05
280010.E-03  105440.E-05  272811.E-05
290010.E-03  102701.E-05  271626.E-05
300010.E-03  101799.E-05  246138.E-05
310010.E-03  100539.E-05  251043.E-05
320010.E-03  999311.E-06  249581.E-05
330010.E-03  937748.E-06  237324.E-05
340010.E-03  926345.E-06  217457.E-05
350010.E-03  903381.E-06  214212.E-05
360010.E-03  866619.E-06  210590.E-05
370010.E-03  847560.E-06  196241.E-05
380010.E-03  800434.E-06  187639.E-05
390010.E-03  782756.E-06  164593.E-05
400010.E-03  765321.E-06  170810.E-05
410010.E-03  730010.E-06  160164.E-05
420010.E-03  718968.E-06  152500.E-05
430010.E-03  677202.E-06  140396.E-05
440010.E-03  661927.E-06  132076.E-05
450010.E-03  633991.E-06  127042.E-05
460010.E-03  616997.E-06  114605.E-05
470010.E-03  569861.E-06  110653.E-05
480010.E-03  505433.E-06  105544.E-05
490010.E-03  475967.E-06  958460.E-06
500010.E-03  457925.E-06  891298.E-06
510010.E-03  411054.E-06  810536.E-06
520010.E-03  376503.E-06  699804.E-06
530010.E-03  345798.E-06  665415.E-06
540010.E-03  334862.E-06  644986.E-06
550010.E-03  326727.E-06  542978.E-06
560010.E-03  304203.E-06  521890.E-06
570010.E-03  282293.E-06  476858.E-06
580010.E-03  244908.E-06  423986.E-06
590010.E-03  235222.E-06  429430.E-06
600010.E-03  215794.E-06  355359.E-06
610010.E-03  197753.E-06  309161.E-06
620010.E-03  191334.E-06  313395.E-06
630010.E-03  156947.E-06  251016.E-06
640010.E-03  151201.E-06  223711.E-06
650010.E-03  124089.E-06  217834.E-06
660010.E-03  105405.E-06  187856.E-06
670010.E-03  924164.E-07  155723.E-06
680010.E-03  867929.E-07  143411.E-06
690010.E-03  876732.E-07  141165.E-06
700010.E-03  745525.E-07  118771.E-06
710010.E-03  762532.E-07  105590.E-06
720010.E-03  715602.E-07  115654.E-06
730010.E-03  670549.E-07  963633.E-07
740010.E-03  508354.E-07  776635.E-07
750010.E-03  488464.E-07  813238.E-07
760010.E-03  396827.E-07  646289.E-07
770010.E-03  379982.E-07  540183.E-07
780010.E-03  416961.E-07  595272.E-07
790010.E-03  314401.E-07  523148.E-07
800010.E-03  234671.E-07  364311.E-07
810010.E-03  173370.E-07  259897.E-07
820010.E-03  205673.E-07  236096.E-07
830010.E-03  128374.E-07  165195.E-07
840010.E-03  717711.E-08  841616.E-08
850010.E-03  650308.E-08  637234.E-08
860010.E-03  768817.E-08  739235.E-08
870010.E-03  573195.E-08  749709.E-08
880010.E-03  375941.E-08  685116.E-08
890010.E-03  382892.E-08  330459.E-08
900010.E-03  444601.E-08  357848.E-08
910010.E-03  492082.E-08  655160.E-08
920010.E-03  382209.E-08  349372.E-08
930010.E-03  272964.E-08  344556.E-08
940010.E-03  201279.E-08  186908.E-08
950010.E-03  774623.E-09  727901.E-09
960010.E-03  396652.E-09  221393.E-09
970010.E-03  423002.E-09  523416.E-09
980010.E-03  139595.E-09  185877.E-09
990010.E-03  941758.E-09  827103.E-09
100001.E-02  836560.E-10  123118.E-09
