====== pysrim run =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    = He   Energy = 10  keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+03 A   Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Ion Average Range =   327.2E+00 A   Straggling =   173.5E+00 A
 Ion Lateral Range =   199.7E+00 A   Straggling =   247.0E+00 A
 Ion Radial  Range =   313.4E+00 A   Straggling =   155.1E+00 A
====================================================================
 Transmitted Ions =1;  Backscattered Ions =1294
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = 000.4474  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 002.7135  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH         He       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
100100.E-04  1.0000E+04  0.0000E+00
200100.E-04  2.4000E+04  0.0000E+00
300100.E-04  3.2000E+04  0.0000E+00
400100.E-04  5.8000E+04  0.0000E+00
500100.E-04  6.4000E+04  0.0000E+00
600100.E-04  7.0000E+04  0.0000E+00
700100.E-04  8.6000E+04  0.0000E+00
800100.E-04  9.2000E+04  0.0000E+00
900100.E-04  1.0000E+05  0.0000E+00
100010.E-03  1.0400E+05  0.0000E+00
110010.E-03  1.2200E+05  0.0000E+00
120010.E-03  1.2800E+05  0.0000E+00
130010.E-03  8.8000E+04  0.0000E+00
140010.E-03  1.4200E+05  0.0000E+00
150010.E-03  1.3600E+05  0.0000E+00
160010.E-03  1.2600E+05  0.0000E+00
170010.E-03  1.3200E+05  0.0000E+00
180010.E-03  1.7200E+05  0.0000E+00
190010.E-03  1.5400E+05  0.0000E+00
200010.E-03  1.5600E+05  0.0000E+00
210010.E-03  1.6600E+05  0.0000E+00
220010.E-03  1.4400E+05  0.0000E+00
230010.E-03  1.4800E+05  0.0000E+00
240010.E-03  1.6800E+05  0.0000E+00
250010.E-03  1.4600E+05  0.0000E+00
260010.E-03  1.6200E+05  0.0000E+00
270010.E-03  1.4600E+05  0.0000E+00
280010.E-03  1.5600E+05  0.0000E+00
290010.E-03  1.3200E+05  0.0000E+00
