====== pysrim run =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 10 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+03 A ;
  Layer # 1- Density = 6.322E22 atoms/cm3 = 19.3 g/cm3
  Layer # 1-  W = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 10 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
100100.E-04  9200.00E-06  4376.12E-06  
200100.E-04  8600.00E-06  3653.93E-06  
300100.E-04  1102.00E-05  5921.54E-06  
400100.E-04  1548.00E-05  8130.85E-06  
500100.E-04  1334.00E-05  6778.25E-06  
600100.E-04  1476.00E-05  7097.02E-06  
700100.E-04  1744.00E-05  7798.24E-06  
800100.E-04  1762.00E-05  9294.97E-06  
900100.E-04  1788.00E-05  8404.65E-06  
100010.E-03  1896.00E-05  8572.80E-06  
110010.E-03  1918.00E-05  8489.91E-06  
120010.E-03  1920.00E-05  8826.89E-06  
130010.E-03  2024.00E-05  7586.25E-06  
140010.E-03  1984.00E-05  8279.62E-06  
150010.E-03  2016.00E-05  7674.24E-06  
160010.E-03  2028.00E-05  8240.78E-06  
170010.E-03  2112.00E-05  8063.98E-06  
180010.E-03  1928.00E-05  8286.02E-06  
190010.E-03  2030.00E-05  7486.48E-06  
200010.E-03  1902.00E-05  6510.32E-06  
210010.E-03  1982.00E-05  7709.70E-06  
220010.E-03  1996.00E-05  6720.39E-06  
230010.E-03  1874.00E-05  5527.09E-06  
240010.E-03  1906.00E-05  6483.87E-06  
250010.E-03  1872.00E-05  5833.97E-06  
260010.E-03  1822.00E-05  4592.60E-06  
270010.E-03  1646.00E-05  4526.40E-06  
280010.E-03  1640.00E-05  4383.09E-06  
290010.E-03  1656.00E-05  4535.42E-06  
300010.E-03  1520.00E-05  3625.27E-06  
310010.E-03  1490.00E-05  3797.78E-06  
320010.E-03  1530.00E-05  3656.88E-06  
330010.E-03  1472.00E-05  3491.16E-06  
340010.E-03  1286.00E-05  3004.71E-06  
350010.E-03  1324.00E-05  2825.24E-06  
360010.E-03  1278.00E-05  2937.06E-06  
370010.E-03  1208.00E-05  2662.90E-06  
380010.E-03  1104.00E-05  2475.02E-06  
390010.E-03  9740.00E-06  1744.36E-06  
400010.E-03  1026.00E-05  1953.97E-06  
410010.E-03  9720.00E-06  1809.00E-06  
420010.E-03  9060.00E-06  1648.19E-06  
430010.E-03  8060.00E-06  1380.70E-06  
440010.E-03  7860.00E-06  1115.23E-06  
450010.E-03  7400.00E-06  1172.14E-06  
460010.E-03  6560.00E-06  8734.89E-07  
470010.E-03  6400.00E-06  8336.68E-07  
480010.E-03  6220.00E-06  9891.80E-07  
490010.E-03  6000.00E-06  8105.54E-07  
500010.E-03  5060.00E-06  6750.58E-07  
510010.E-03  4960.00E-06  5441.69E-07  
520010.E-03  4040.00E-06  4721.19E-07  
530010.E-03  4080.00E-06  3945.16E-07  
540010.E-03  3840.00E-06  4443.15E-07  
550010.E-03  2980.00E-06  2649.10E-07  
560010.E-03  2800.00E-06  2670.92E-07  
570010.E-03  2800.00E-06  1913.99E-07  
580010.E-03  2200.00E-06  2682.04E-07  
590010.E-03  2560.00E-06  2312.88E-07  
600010.E-03  1740.00E-06  1992.52E-07  
610010.E-03  1580.00E-06  1474.80E-07  
620010.E-03  1900.00E-06  6773.14E-08  
630010.E-03  1240.00E-06  1314.32E-07  
640010.E-03  1120.00E-06  2683.34E-08  
650010.E-03  1160.00E-06  1355.09E-07  
660010.E-03  1060.00E-06  6788.53E-08  
670010.E-03  8600.00E-07  5169.71E-08  
680010.E-03  8400.00E-07  3769.96E-08  
690010.E-03  7600.00E-07  5346.07E-08  
700010.E-03  5600.00E-07  4148.57E-08  
710010.E-03  5000.00E-07  9002.90E-09  
720010.E-03  5800.00E-07  5147.13E-08  
730010.E-03  4600.00E-07  3954.09E-08  
740010.E-03  3600.00E-07  2852.03E-08  
750010.E-03  3400.00E-07  6038.48E-08  
760010.E-03  3400.00E-07  3216.94E-08  
770010.E-03  3200.00E-07  0000.00E+00  
780010.E-03  3000.00E-07  9807.80E-09  
790010.E-03  2400.00E-07  5811.00E-08  
800010.E-03  1600.00E-07  7001.86E-10  
810010.E-03  1400.00E-07  0000.00E+00  
820010.E-03  6000.00E-08  1429.29E-08  
830010.E-03  8000.00E-08  0000.00E+00  
840010.E-03  2000.00E-08  0000.00E+00  
850010.E-03  0000.00E+00  0000.00E+00  
860010.E-03  2000.00E-08  0000.00E+00  
870010.E-03  4000.00E-08  0000.00E+00  
880010.E-03  4000.00E-08  0000.00E+00  
890010.E-03  0000.00E+00  0000.00E+00  
900010.E-03  0000.00E+00  0000.00E+00  
910010.E-03  2000.00E-08  0000.00E+00  
920010.E-03  0000.00E+00  0000.00E+00  
930010.E-03  0000.00E+00  0000.00E+00  
940010.E-03  0000.00E+00  0000.00E+00  
950010.E-03  0000.00E+00  0000.00E+00  
960010.E-03  0000.00E+00  0000.00E+00  
970010.E-03  0000.00E+00  0000.00E+00  
980010.E-03  0000.00E+00  0000.00E+00  
990010.E-03  0000.00E+00  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  0  eV/Vacancy
